databaseId,durationTotal,createdTime,endTime
368230331338976472,44606,2018-02-24 04:02:16.228000+00:00,2018-02-24 04:03:00.834000+00:00
368230331338976472,25557,2018-02-22 18:48:25.513000+00:00,2018-02-22 18:48:51.700000+00:00
368230331338976472,654,2018-02-24 00:31:48.315000+00:00,2018-02-24 00:31:48.969000+00:00
368230331338976472,80701,2018-02-27 05:11:05.857000+00:00,2018-02-27 05:12:26.558000+00:00
368230331338976472,100744,2018-02-23 14:37:41.217000+00:00,2018-02-23 14:39:21.961000+00:00
368230331338976472,46547,2018-02-26 04:08:30.346000+00:00,2018-02-26 04:09:16.893000+00:00
368230331338976472,43527,2018-02-27 21:00:56.163000+00:00,2018-02-27 21:01:39.690000+00:00
368230331338976472,34754,2018-02-28 05:56:47.704000+00:00,2018-02-28 05:57:22.458000+00:00
368230331338976472,33506,2018-02-26 03:44:42.746000+00:00,2018-02-26 03:45:16.252000+00:00
368230331338976472,3530,2018-02-25 03:30:19.960000+00:00,2018-02-25 03:30:23.490000+00:00
368230331338976472,42051,2018-02-26 01:50:11.215000+00:00,2018-02-26 01:50:53.266000+00:00
368230331338976472,35503,2018-02-22 02:56:40.481000+00:00,2018-02-22 02:57:15.984000+00:00
368230331338976472,66757,2018-02-24 17:51:32.399000+00:00,2018-02-24 17:52:39.156000+00:00
368230331338976472,1142785,2018-02-28 00:22:44.987000+00:00,2018-02-28 00:41:47.772000+00:00
368230331338976472,32218,2018-02-24 21:09:18.668000+00:00,2018-02-24 21:09:50.886000+00:00
368230331338976472,41706,2018-02-21 23:56:30.676000+00:00,2018-02-21 23:57:12.382000+00:00
368230331338976472,69544,2018-02-23 15:55:39.924000+00:00,2018-02-23 15:56:49.468000+00:00
368230331338976472,24344,2018-02-22 00:51:20.330000+00:00,2018-02-22 00:51:44.674000+00:00
368230331338976472,2174,2018-02-22 21:12:56.969000+00:00,2018-02-22 21:12:59.143000+00:00
368230331338976472,44014,2018-02-26 23:04:12.503000+00:00,2018-02-26 23:04:56.517000+00:00
368230331338976472,59262,2018-02-28 14:25:07.823000+00:00,2018-02-28 14:26:07.850000+00:00
368230331338976472,40787,2018-02-28 02:28:34.950000+00:00,2018-02-28 02:29:14.882000+00:00
368230331338976472,27733,2018-02-28 05:42:46.882000+00:00,2018-02-28 05:43:14.615000+00:00
368230331338976472,69498,2018-02-22 15:40:49.720000+00:00,2018-02-22 15:41:58.570000+00:00
368230331338976472,55384,2018-02-22 21:07:12.307000+00:00,2018-02-22 21:08:07.691000+00:00
368230331338976472,22337,2018-02-28 06:08:20.380000+00:00,2018-02-28 06:08:42.717000+00:00
368230331338976472,41381,2018-02-22 21:26:01.565000+00:00,2018-02-22 21:26:42.946000+00:00
368230331338976472,1803,2018-02-26 09:35:28.546000+00:00,2018-02-26 09:35:30.349000+00:00
368230331338976472,25575,2018-02-22 09:37:32.260000+00:00,2018-02-22 09:37:57.835000+00:00
368230331338976472,29161,2018-02-22 15:18:12.765000+00:00,2018-02-22 15:18:41.926000+00:00
368230331338976472,63044,2018-02-23 22:44:20.839000+00:00,2018-02-23 22:45:23.883000+00:00
368230331338976472,58423,2018-02-26 04:35:18.752000+00:00,2018-02-26 04:36:17.175000+00:00
368230331338976472,2358,2018-02-25 09:01:44.652000+00:00,2018-02-25 09:01:47.100000+00:00
368230331338976472,43170,2018-02-24 19:18:00.685000+00:00,2018-02-24 19:18:43.855000+00:00
368230331338976472,1805,2018-02-24 09:53:28.730000+00:00,2018-02-24 09:53:30.535000+00:00
368230331338976472,72816,2018-02-24 15:47:13.914000+00:00,2018-02-24 15:48:26.730000+00:00
368230331338976472,75102,2018-02-27 16:41:23+00:00,2018-02-27 16:42:38.102000+00:00
368230331338976472,409,2018-02-26 22:50:08.349000+00:00,2018-02-26 22:50:08.758000+00:00
368230331338976472,2234,2018-02-22 09:34:50.761000+00:00,2018-02-22 09:34:52.995000+00:00
368230331338976472,592,2018-02-23 21:06:16.845000+00:00,2018-02-23 21:06:17.437000+00:00
368230331338976472,545,2018-02-23 19:04:01.845000+00:00,2018-02-23 19:04:02.390000+00:00
368230331338976472,29503,2018-02-23 09:37:49.489000+00:00,2018-02-23 09:38:18.992000+00:00
368230331338976472,61880,2018-02-22 15:22:45.706000+00:00,2018-02-22 15:23:47.586000+00:00
368230331338976472,23908,2018-02-24 04:53:23.835000+00:00,2018-02-24 04:53:47.743000+00:00
368230331338976472,803742,2018-03-03 14:23:44.460000+00:00,2018-03-03 14:37:08.202000+00:00
368230331338976472,933408,2018-03-03 14:08:09.270000+00:00,2018-03-03 14:23:42.678000+00:00
368230331338976472,9505,2018-03-05 01:14:04.150000+00:00,2018-03-05 01:14:13.655000+00:00
368230331338976472,6966,2018-03-05 02:11:32.220000+00:00,2018-03-05 02:11:38.988000+00:00
368230331338976472,7220,2018-03-05 02:45:54.290000+00:00,2018-03-05 02:46:01.249000+00:00
368230331338976472,8634,2018-03-05 02:00:09.447000+00:00,2018-03-05 02:00:18.810000+00:00
368230331338976472,33004,2018-03-05 02:00:18.864000+00:00,2018-03-05 02:00:51.868000+00:00
368230331338976472,7437,2018-03-05 01:37:15.993000+00:00,2018-03-05 01:37:23.430000+00:00
368230331338976472,33692,2018-03-05 01:14:51.376000+00:00,2018-03-05 01:15:25.680000+00:00
368230331338976472,8219,2018-03-05 02:22:10.604000+00:00,2018-03-05 02:22:18.823000+00:00
368230331338976472,21812,2018-03-05 01:59:44.487000+00:00,2018-03-05 02:00:06.299000+00:00
368230331338976472,46738,2018-02-26 17:56:20.514000+00:00,2018-02-26 17:57:07.252000+00:00
368230331338976472,46295,2018-02-26 17:54:47.497000+00:00,2018-02-26 17:55:33.792000+00:00
368230331338976472,3458,2018-02-23 17:23:02.950000+00:00,2018-02-23 17:23:05.553000+00:00
368230331338976472,406,2018-02-27 02:16:55.340000+00:00,2018-02-27 02:16:55.440000+00:00
368230331338976472,21415,2018-02-24 05:41:14.886000+00:00,2018-02-24 05:41:36.301000+00:00
368230331338976472,1916,2018-02-21 21:37:02.820000+00:00,2018-02-21 21:37:04.736000+00:00
368230331338976472,34366,2018-02-26 14:12:32.517000+00:00,2018-02-26 14:13:06.883000+00:00
368230331338976472,26138,2018-02-26 01:17:00.307000+00:00,2018-02-26 01:17:26.445000+00:00
368230331338976472,1684,2018-02-23 02:08:15.470000+00:00,2018-02-23 02:08:16.731000+00:00
368230331338976472,35775,2018-02-23 02:42:19.870000+00:00,2018-02-23 02:42:54.862000+00:00
368230331338976472,904,2018-02-24 18:31:29.945000+00:00,2018-02-24 18:31:30.849000+00:00
368230331338976472,2716,2018-02-23 02:47:00.950000+00:00,2018-02-23 02:47:02.811000+00:00
368230331338976472,34742,2018-02-21 21:34:13.548000+00:00,2018-02-21 21:34:48.290000+00:00
368230331338976472,50650,2018-02-23 04:50:49.450000+00:00,2018-02-23 04:51:40.100000+00:00
368230331338976472,22811,2018-02-27 21:11:31.929000+00:00,2018-02-27 21:11:54.740000+00:00
368230331338976472,27810,2018-02-25 23:49:28.347000+00:00,2018-02-25 23:49:56.157000+00:00
368230331338976472,34721,2018-02-26 00:41:57.972000+00:00,2018-02-26 00:42:32.693000+00:00
368230331338976472,30525,2018-02-21 20:33:13.364000+00:00,2018-02-21 20:33:43.889000+00:00
368230331338976472,51817,2018-02-25 20:51:52.696000+00:00,2018-02-25 20:52:44.513000+00:00
368230331338976472,23740,2018-02-25 18:47:59.854000+00:00,2018-02-25 18:48:23.594000+00:00
368230331338976472,26692,2018-02-27 23:18:19.973000+00:00,2018-02-27 23:18:46.665000+00:00
368230331338976472,25702,2018-02-22 23:09:21.818000+00:00,2018-02-22 23:09:47.520000+00:00
368230331338976472,59974,2018-02-22 23:06:41.716000+00:00,2018-02-22 23:07:41.690000+00:00
368230331338976472,52987,2018-02-24 21:06:46.190000+00:00,2018-02-24 21:07:39.177000+00:00
368230331338976472,59711,2018-02-23 16:13:30.804000+00:00,2018-02-23 16:14:30.515000+00:00
368230331338976472,37293,2018-02-23 02:40:13.907000+00:00,2018-02-23 02:40:51.200000+00:00
368230331338976472,156095,2018-02-22 14:49:39.499000+00:00,2018-02-22 14:52:15.594000+00:00
368230331338976472,36654,2018-02-28 02:19:47.266000+00:00,2018-02-28 02:20:23.920000+00:00
368230331338976472,41924,2018-02-25 18:24:52.292000+00:00,2018-02-25 18:25:34.216000+00:00
368230331338976472,54693,2018-02-23 23:29:17.763000+00:00,2018-02-23 23:30:12.456000+00:00
